City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,saldanha,-33.0117,17.9442,16.03,78,0,3.25,ZA,1701927948
181,anadyr,64.75,177.4833,-19.72,84,100,14.0,RU,1701927949
182,prince rupert,54.3161,-130.3201,5.83,84,75,6.17,CA,1701927950
183,hadibu,12.65,54.0333,25.55,66,99,7.93,YE,1701927951
184,moroni,-11.7022,43.2551,28.74,72,99,1.81,KM,1701927952
185,newman,37.3138,-121.0208,13.13,81,24,1.77,US,1701927953
186,kargasok,59.0556,80.8572,-27.8,89,6,5.81,RU,1701927955
187,marquette,46.5333,-87.6335,0.02,82,82,1.34,US,1701927822
188,bel ombre,-4.6167,55.4167,29.91,70,40,6.69,SC,1701927957
189,kimberley,-28.7323,24.7623,19.83,73,0,8.75,ZA,1701927958
190,jiaojiang,28.6803,121.4428,19.26,42,0,1.33,CN,1701927959
191,guarapari,-20.6667,-40.4975,24.38,96,74,2.05,BR,1701927960
192,holualoa,19.6228,-155.9522,23.91,77,100,0.0,US,1701927961
193,huarmey,-10.0681,-78.1522,19.7,88,97,3.61,PE,1701927962
194,kosh-agach,50.0,88.6667,-14.83,84,92,3.58,RU,1701927964
195,mbandjok,4.45,11.9,20.67,96,69,0.15,CM,1701927965
196,puerto boyaca,5.9758,-74.5885,22.33,98,95,1.15,CO,1701927966
197,gaspra,44.4333,34.1,8.54,86,100,5.94,UA,1701927967
198,machico,32.7,-16.7667,18.73,82,20,1.54,PT,1701927968
199,eirunepe,-6.6603,-69.8736,22.54,98,59,0.18,BR,1701927970
200,guanica,17.9716,-66.908,25.03,53,4,1.99,PR,1701927972
201,timbuktu,16.7735,-3.0074,20.92,17,0,3.93,ML,1701927973
202,changji,44.0167,87.3167,4.44,56,0,7.0,CN,1701927974
203,ta`u,-14.2336,-169.5144,27.37,85,66,5.35,AS,1701927975
204,jayapura,-2.5333,140.7,30.66,86,87,3.43,ID,1701927976
205,horta,38.5333,-28.6333,15.01,81,67,1.79,PT,1701927977
206,keflavik,64.0049,-22.5624,2.95,64,0,8.75,IS,1701927978
207,jijel,36.8205,5.7667,9.97,87,20,2.06,DZ,1701927979
208,rio blanco,18.8333,-97.15,17.07,99,100,3.33,MX,1701927980
209,greymouth,-42.4667,171.2,14.07,62,24,4.8,NZ,1701927981
210,qamdo,31.1667,97.2333,-1.29,28,33,0.79,CN,1701927982
211,sabang,5.8933,95.3214,27.9,74,68,3.3,ID,1701927983
212,corcoran,36.098,-119.5604,16.08,59,72,4.92,US,1701927984
213,walvis bay,-22.9575,14.5053,15.61,94,100,0.0,NA,1701927985
214,pitrufquen,-38.9833,-72.65,10.01,93,100,2.06,CL,1701927987
215,dudinka,69.4058,86.1778,-22.4,97,100,4.47,RU,1701927988
216,vilyuysk,63.7553,121.6247,-45.56,100,93,1.34,RU,1701927989
217,la junta,37.985,-103.5438,8.16,31,0,2.06,US,1701927990
218,alesd,47.0667,22.4167,0.34,99,100,1.66,RO,1701927991
219,khanty-mansiysk,61.0042,69.0019,-33.83,62,0,1.0,RU,1701927992
220,port elizabeth,-33.918,25.5701,22.28,94,75,5.14,ZA,1701927996
221,arkhara,49.4212,130.0842,-14.19,94,100,2.47,RU,1701927997
222,thunder bay,48.4001,-89.3168,0.99,86,20,3.09,CA,1701927998
223,haapsalu,58.9431,23.5414,-9.49,86,89,4.36,EE,1701927998
224,rundu,-17.9333,19.7667,25.62,49,100,0.68,NA,1701927999
225,mogadishu,2.0371,45.3438,27.93,74,0,5.14,SO,1701928000
226,ahfir,34.9537,-2.1003,11.34,88,76,1.12,MA,1701928001
227,arkalyk,50.2486,66.9114,-14.74,67,38,3.42,KZ,1701928002
228,sterling,39.0062,-77.4286,2.48,67,0,5.66,US,1701928003
229,ciudad lazaro cardenas,17.9583,-102.2,23.81,83,91,2.23,MX,1701928005
230,ajdabiya,30.7554,20.2263,18.89,51,100,6.67,LY,1701928006
231,northam,51.0333,-4.2167,11.25,95,100,9.83,GB,1701928007
232,ardestan,33.3761,52.3694,14.62,15,5,0.57,IR,1701928008
233,kudymkar,59.0173,54.656,-37.37,100,22,0.94,RU,1701928009
234,i-n-salah,27.1935,2.4607,16.04,38,1,3.52,DZ,1701928010
235,ouani,-12.1322,44.4258,27.76,74,33,0.8,KM,1701928013
236,nova sintra,14.8667,-24.7167,21.25,70,95,8.06,CV,1701928014
237,sommerda,51.15,11.1,2.71,83,100,3.5,DE,1701928015
238,conception bay south,47.4999,-52.9981,-4.08,93,86,0.66,CA,1701927905
